"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"39","9.230769","9° 13' 51""","—","No","3 × 13","Blend of prime factors: H3 (ease/flow) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 13 quality blend activates at tight orb (<0.41°). Active only at near-exact contact.","3 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"40","9.0","9° 00' 00""","—","No","2^3 × 5","2³ × 5: doubled-pressure creative form (H8 × H5). Vedic D40 Khavedamsa = maternal lineage karma; auspicious/inauspicious effects from mother's side (BPHS). Natal maternal-line creative legacy. Derived with Vedic anchor.","Surfacing of inherited maternal creative patterns; subliminal maternal lineage activation.","Octave of quintile — maternal creative inheritance; Vedic D40 resonance (BPHS).","Derived (factor blend)"
"41","8.780488","8° 46' 50""","—","Yes","41","Prime H41: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"42","8.571429","8° 34' 17""","—","No","2 × 3 × 7","2 × 3 × 7: pressure + flow + fate. The 'lived-out destiny' harmonic — ease in confronting one's fate; comprehensive synthesis.","Fated flowing opportunity; destiny unfolds with surprising ease.","The grand synthesis — opposition, trine, and septile braided.","Derived (factor blend)"
"43","8.372093","8° 22' 20""","—","Yes","43","Prime H43: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"44","8.181818","8° 10' 55""","—","No","2^2 × 11","Blend of prime factors: H2² (pressure/polarity) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 11 quality blend activates at tight orb (<0.36°). Active only at near-exact contact.","2^2 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"45","8.0","8° 00' 00""","—","No","3^2 × 5","9 × 5 = 3² × 5: novile-joy × quintile-creativity. Vedic D45 Akshavedamsa = paternal lineage karma (BPHS). Joyful creative dharma; paternal creative inheritance.","Paternal creative legacy activated; joyful creative dharma surfaces.","Novile of quintile — joy in form-making; Vedic D45 paternal resonance (BPHS).","Derived (factor blend)"
"46","7.826087","7° 49' 34""","—","No","2 × 23","Blend of prime factors: H2 (pressure/polarity) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 23 quality blend activates at tight orb (<0.35°). Active only at near-exact contact.","2 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"47","7.659574","7° 39' 34""","—","Yes","47","Prime H47: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"48","7.5","7° 30' 00""","—","No","2^4 × 3","Blend of prime factors: H2^4 (pressure/polarity) + H3 (ease/flow). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 3 quality blend activates at tight orb (<0.33°). Active only at near-exact contact.","2^4 × 3 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"49","7.346939","7° 20' 49""","—","No","7^2","7²: septile doubled — the pure mystic, deeply fated. Double-strength unconscious compulsion; extremely rare karma. Hamblin: fate squared.","Intensified karmic encounter; fate appears inescapable.","Fate squared — H7 resonance at maximum depth (Hamblin principle).","Derived (factor blend)"
"50","7.2","7° 12' 00""","—","No","2 × 5^2","Blend of prime factors: H2 (pressure/polarity) + H5² (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5^2 quality blend activates at tight orb (<0.32°). Active only at near-exact contact.","2 × 5^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"51","7.058824","7° 03' 32""","—","No","3 × 17","Blend of prime factors: H3 (ease/flow) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 17 quality blend activates at tight orb (<0.31°). Active only at near-exact contact.","3 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"52","6.923077","6° 55' 23""","—","No","2^2 × 13","Blend of prime factors: H2² (pressure/polarity) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 13 quality blend activates at tight orb (<0.31°). Active only at near-exact contact.","2^2 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"53","6.792453","6° 47' 33""","—","Yes","53","Prime H53: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"54","6.666667","6° 40' 00""","—","No","2 × 3^3","Blend of prime factors: H2 (pressure/polarity) + H3³ (ease/flow). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3^3 quality blend activates at tight orb (<0.3°). Active only at near-exact contact.","2 × 3^3 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"55","6.545455","6° 32' 44""","—","No","5 × 11","Blend of prime factors: H5 (creative form) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 11 quality blend activates at tight orb (<0.29°). Active only at near-exact contact.","5 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"56","6.428571","6° 25' 43""","—","No","2^3 × 7","Blend of prime factors: H2³ (pressure/polarity) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 7 quality blend activates at tight orb (<0.29°). Active only at near-exact contact.","2^3 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"57","6.315789","6° 18' 57""","—","No","3 × 19","Blend of prime factors: H3 (ease/flow) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 19 quality blend activates at tight orb (<0.28°). Active only at near-exact contact.","3 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"58","6.206897","6° 12' 25""","—","No","2 × 29","Blend of prime factors: H2 (pressure/polarity) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 29 quality blend activates at tight orb (<0.28°). Active only at near-exact contact.","2 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"59","6.101695","6° 06' 06""","—","Yes","59","Prime H59: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"60","6.0","6° 00' 00""","—","No","2^2 × 3 × 5","2² × 3 × 5: Vedic D60 Shashtiamsa — 'everything about life is judged from Shastyamsha' (BPHS). Supreme causal-plane karma; past-life signature. Western: synthesis of pressure, flow, and form at high resolution.","Deepest karmic activations; past-life pattern surfaces consciously.","The supreme divisional — complete synthesis at 60th resolution (BPHS / Western blend).","Derived (factor blend)"
"61","5.901639","5° 54' 06""","—","Yes","61","Prime H61: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"62","5.806452","5° 48' 23""","—","No","2 × 31","Blend of prime factors: H2 (pressure/polarity) + H31 (limits of systems). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 31 quality blend activates at tight orb (<0.26°). Active only at near-exact contact.","2 × 31 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"63","5.714286","5° 42' 51""","—","No","3^2 × 7","9 × 7: novile-joy × septile-fate. The destined-bliss harmonic — joyful karma; happiness that feels fated.","Encounter with destined joy; bliss arrives as if predetermined.","Joyful fate — completion meets destiny (Hamblin compound principle).","Derived (factor blend)"
"64","5.625","5° 37' 30""","—","No","2^6","2⁶: maximum doubled cross — the deepest structural pressure layer. Extremely subliminal 'inner cross' motivation.","Deepest structural pressure; almost invisible yet persistent.","2⁶ — maximum doubling; the unconscious cross at full depth.","Derived (factor blend)"
"65","5.538462","5° 32' 18""","—","No","5 × 13","Blend of prime factors: H5 (creative form) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 13 quality blend activates at tight orb (<0.25°). Active only at near-exact contact.","5 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"66","5.454545","5° 27' 16""","—","No","2 × 3 × 11","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 11 quality blend activates at tight orb (<0.24°). Active only at near-exact contact.","2 × 3 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"67","5.373134","5° 22' 23""","—","Yes","67","Prime H67: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"68","5.294118","5° 17' 39""","—","No","2^2 × 17","Blend of prime factors: H2² (pressure/polarity) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 17 quality blend activates at tight orb (<0.24°). Active only at near-exact contact.","2^2 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"69","5.217391","5° 13' 03""","—","No","3 × 23","Blend of prime factors: H3 (ease/flow) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 23 quality blend activates at tight orb (<0.23°). Active only at near-exact contact.","3 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"70","5.142857","5° 08' 34""","—","No","2 × 5 × 7","Blend of prime factors: H2 (pressure/polarity) + H5 (creative form) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5 × 7 quality blend activates at tight orb (<0.23°). Active only at near-exact contact.","2 × 5 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
