Planet,SignsAndHouses,Positives,Negatives
Mars,Sagittarius,"adventurous,enthusiastic,bold","reckless,impatient,preachy"
Mars,Capricorn,"disciplined,ambitious,strategic","ruthless,cold,workaholic"
Mars,Aquarius,"progressive,independent,unconventional","rebellious,detached,erratic"
Mars,Pisces,"compassionate-action,creative,spiritual","passive,confused,escapist"
Jupiter,Aries,"pioneering,confident,leader","overconfident,reckless,domineering"
Jupiter,Taurus,"abundant,practical,generous","overindulgent,greedy,materialistic"
Jupiter,Gemini,"knowledgeable,communicative,versatile","superficial,scattered,unreliable"
Jupiter,Cancer,"nurturing,prosperous,generous","smothering,overprotective,moody"
Jupiter,Leo,"magnanimous,creative,inspiring","egotistical,extravagant,dramatic"
Jupiter,Virgo,"service-oriented,precise,humble","overly-critical,worried,perfectionist"
Jupiter,Libra,"just,diplomatic,harmonious","indulgent,people-pleasing,complacent"
Jupiter,Scorpio,"transformative,powerful,insightful","manipulative,obsessive,extreme"
Jupiter,Sagittarius,"philosophical,optimistic,expansive","excessive,dogmatic,reckless"
Jupiter,Capricorn,"structured,responsible,disciplined","rigid,pessimistic,status-obsessed"
Jupiter,Aquarius,"humanitarian,progressive,visionary","rebellious,impractical,detached"
Jupiter,Pisces,"spiritual,compassionate,imaginative","delusional,escapist,gullible"
Saturn,Aries,"disciplined-initiator,resilient","frustrated,aggressive,impatient"
Saturn,Taurus,"financially-responsible,patient","rigid,miserly,stagnant"
Saturn,Gemini,"focused-thinker,studious","overthinking,anxious,rigid-ideas"
Saturn,Cancer,"emotionally-mature,responsible","emotionally-repressed,fearful,cold"
Saturn,Leo,"humble-leader,disciplined-creative","suppressed-expression,joyless,authoritarian"
Saturn,Virgo,"meticulous,productive,health-conscious","obsessive,anxious,hypochondriac"
Saturn,Libra,"fair,committed,balanced","overly-cautious,dependent,conflict-averse"
Saturn,Scorpio,"transformative-power,resilient,deep","controlling,paranoid,obsessive"
Saturn,Sagittarius,"focused-wisdom,disciplined-explorer","dogmatic,restrictive,preachy"
Saturn,Capricorn,"highly-ambitious,structured,authoritative","workaholic,cold,ruthless"
Saturn,Aquarius,"progressive,community-focused,disciplined","detached,rigid-ideals,isolated"
Saturn,Pisces,"spiritually-disciplined,compassionate","confused,fearful,escapist"
Chiron,Aries,"self-aware,healing-pioneer","identity-wounds,self-doubt"
Chiron,Taurus,"self-worth-healer,grounding","material-insecurity,stubbornness"
Chiron,Gemini,"communicative-healer,wise","communication-wounds,learning-difficulties"
Chiron,Cancer,"emotional-healer,nurturing","family-wounds,abandonment-fears"
Chiron,Leo,"creative-healer,expressive","recognition-wounds,creative-blocks"
Chiron,Virgo,"service-healer,health-aware","perfectionism-wounds,self-criticism"
Chiron,Libra,"relationship-healer,peacemaker","relationship-wounds,codependency"
Chiron,Scorpio,"transformation-healer,profound","trust-wounds,power-struggles"
Chiron,Sagittarius,"wisdom-seeker,philosophical-healer","faith-wounds,meaning-crisis"
Chiron,Capricorn,"authority-healer,responsible","authority-wounds,achievement-pressure"
Chiron,Aquarius,"community-healer,innovative","belonging-wounds,alienation"
Chiron,Pisces,"spiritual-healer,transcendent","boundary-wounds,spiritual-confusion"
